户型,建筑面积,朝向,楼层,装修,建筑年代,电梯,产权性质,住宅类别,建筑结构,建筑类别,区域,学校,总价,单价
0室0厅 ,127.48平米,东南,高层,毛坯,2020年,有 ,商品房,普通住宅,平层,板楼,长沙县,0,105,8237元/平米
0室0厅 ,38.18平米,南,中层,简装修,2020年,无 ,商品房,普通住宅,平层,板楼,岳麓,1,38.8,10163元/平米
0室1厅 ,45平米,南,低层,简装修,,无 ,房改房,,平层,,天心,0,60,13334元/平米
0室1厅 ,45平米,南,中楼层,暂无,,,,,,,天心,0,60,13334元/平米
0室1厅 ,52.17平米,北,中层,毛坯,2015年,有 ,个人产权,普通住宅,平层,板楼,长沙县,1,45.8,8779元/平米
0室1厅 ,64.42平米,东南,低层,暂无,,无 ,个人产权,普通住宅,平层,板楼,芙蓉,1,66.8,10370元/平米
10室2厅 ,186.89平米,南,低楼层,暂无,,,,,,,长沙县,0,328,17551元/平米
10室3厅 ,259平米,南,中层,精装修,2014年,无 ,商品房,普通住宅,平层,板楼,望城,0,578,22317元/平米
10室4厅 ,232.01平米,北,高楼层,暂无,,,,,,,宁乡,1,588,25344元/平米
13室5厅 ,827.31平米,南,中层,精装修,2015年,有 ,商品房,,,板楼,雨花,0,779,9417元/平米
13室5厅 ,827.31平米,南,高楼层,暂无,,,,,,,雨花,1,779,9417元/平米
1室0厅 ,105平米,南,中层,精装修,2008年,有 ,个人产权,普通住宅,平层,,芙蓉,1,150,14286元/平米
1室0厅 ,115.36平米,南,中楼层,暂无,,,,,,,岳麓,0,150,13003元/平米
1室0厅 ,120平米,东,高层,简装修,2004年,有 ,商品房,,,板楼,芙蓉,1,100,8334元/平米
1室0厅 ,170平米,南,高层,精装修,2003年,无 ,个人产权,普通住宅,平层,钢混,岳麓,1,221,13000元/平米
1室0厅 ,21.08平米,南,高层,毛坯,2017年,有 ,个人产权,普通住宅,平层,塔板结合,长沙县,1,11,5219元/平米
1室0厅 ,23.1平米,北,高层,精装修,2000年,有 ,商品房,普通住宅,,板楼,岳麓,1,28.6,12381元/平米
1室0厅 ,23.1平米,南,低层,精装修,2003年,无 ,个人产权,普通住宅,平层,板楼,岳麓,1,31,13420元/平米
1室0厅 ,23平米,北,低楼层,暂无,,,,,,,芙蓉,0,28,12174元/平米
1室0厅 ,23平米,东南,低楼层,暂无,,,,,,,芙蓉,1,30,13044元/平米
1室0厅 ,24.49平米,西,高楼层,暂无,,,,,,,芙蓉,1,29.8,12169元/平米
1室0厅 ,24.77平米,东,高楼层,暂无,,,,,,,雨花,0,27,10901元/平米
1室0厅 ,25.34平米,东北,高层,简装修,2004年,有 ,商品房,普通住宅,平层,钢混,岳麓,1,30,11839元/平米
1室0厅 ,25.5平米,东南,高层,简装修,,无 ,个人产权,普通住宅,平层,砖混,芙蓉,0,29,11373元/平米
1室0厅 ,25平米,南,中层,精装修,2017年,有 ,个人产权,普通住宅,平层,塔板结合,岳麓,0,25.5,10200元/平米
1室0厅 ,25平米,南,高楼层,暂无,,,,,,,芙蓉,0,36,14400元/平米
1室0厅 ,27.45平米,南,高层,中装修,2004年,无 ,个人产权,普通住宅,平层,板楼,岳麓,1,27.1,9873元/平米
1室0厅 ,27.45平米,南,中层,精装修,2000年,无 ,商品房,普通住宅,平层,板楼,岳麓,1,29.8,10857元/平米
1室0厅 ,27.84平米,南,低层,简装修,2012年,有 ,商品房,普通住宅,,板楼,开福,1,29.8,10705元/平米
1室0厅 ,27.84平米,南,中层,精装修,2008年,有 ,商品房(免税),普通住宅,平层,板楼,开福,0,31,11136元/平米
1室0厅 ,27.84平米,南,低层,毛坯,2017年,有 ,个人产权,普通住宅,平层,,开福,0,31,11136元/平米
1室0厅 ,27.84平米,南,高层,精装修,2021年,有 ,个人产权,普通住宅,平层,板楼,开福,0,28.5,10238元/平米
1室0厅 ,28.38平米,东,中层,暂无,,无 ,商品房,,,,岳麓,1,25.8,9091元/平米
1室0厅 ,28.3平米,南,低层,毛坯,2016年,有 ,商品房,普通住宅,,板楼,岳麓,0,30,10601元/平米
1室0厅 ,28.3平米,南,低楼层,暂无,,,,,,,岳麓,0,31,10955元/平米
1室0厅 ,28.55平米,东,低层,精装修,2005年,有 ,商品房,普通住宅,,板楼,岳麓,0,36,12610元/平米
1室0厅 ,28.9平米,南,高层,精装修,2007年,有 ,商品房,普通住宅,平层,钢混,岳麓,0,32.8,11350元/平米
1室0厅 ,29.26平米,南,低楼层,暂无,,,,,,,岳麓,0,38,12988元/平米
1室0厅 ,29.28平米,东南,高层,中装修,2015年,有 ,个人产权,普通住宅,平层,板楼,雨花,0,26,8880元/平米
1室0厅 ,29.71平米,北,中层,精装修,2009年,有 ,商品房,普通住宅,,板楼,天心,0,27.8,9358元/平米
1室0厅 ,29.71平米,南,中层,精装修,2011年,有 ,商品房,,,板楼,天心,1,35,11781元/平米
1室0厅 ,30.49平米,南,高楼层,暂无,,,,,,,雨花,0,30,9840元/平米
1室0厅 ,30.49平米,南,中层,中装修,,无 ,商品房,普通住宅,平层,钢混,雨花,0,30,9840元/平米
1室0厅 ,30.71平米,南,中层,简装修,2016年,有 ,商品房,普通住宅,平层,板楼,雨花,1,40,13026元/平米
1室0厅 ,30.79平米,北,低层,毛坯,2014年,无 ,个人产权,普通住宅,平层,板楼,雨花,0,31,10069元/平米
1室0厅 ,30.85平米,南,低楼层,暂无,,,,,,,雨花,0,30.9,10017元/平米
1室0厅 ,31.1平米,西,高层,精装修,2006年,无 ,个人产权,普通住宅,平层,平房,岳麓,0,35,11255元/平米
1室0厅 ,31.1平米,西,高层,简装修,2004年,有 ,商品房,普通住宅,,板楼,岳麓,1,35,11255元/平米
1室0厅 ,31.31平米,南,中层,简装修,2002年,无 ,商品房,普通住宅,平层,钢混,雨花,0,35,11179元/平米
1室0厅 ,31.37平米,南,中层,简装修,2015年,有 ,商品房,普通住宅,平层,塔板结合,开福,0,35,11158元/平米
1室0厅 ,31.73平米,南,低层,中装修,2006年,有 ,个人产权,普通住宅,平层,,芙蓉,0,33,10401元/平米
1室0厅 ,31.75平米,北,中层,简装修,2003年,无 ,商品房,,,板楼,芙蓉,1,26,8189元/平米
1室0厅 ,31.77平米,北,中层,精装修,2012年,无 ,商品房,普通住宅,,板楼,望城,1,32,10073元/平米
1室0厅 ,31.7平米,东,高层,精装修,2012年,有 ,商品房,普通住宅,,板楼,天心,1,31,9773元/平米
1室0厅 ,31平米,北,高层,简装修,2020年,有 ,商品房,普通住宅,平层,板楼,长沙县,0,24,7742元/平米
1室0厅 ,32.06平米,南,低楼层,暂无,,,,,,,芙蓉,1,32,9982元/平米
1室0厅 ,32.47平米,南,低楼层,暂无,,,,,,,芙蓉,0,27,8316元/平米
1室0厅 ,32.81平米,南,低层,精装修,1995年,无 ,个人产权,普通住宅,平层,砖混,天心,1,23,7011元/平米
1室0厅 ,32.81平米,南,低层,简装修,2005年,有 ,商品房,普通住宅,,板楼,天心,1,23,7011元/平米
