id,category,city,salary,workYear,education
1,Java,北京,32.5,4.0,本科
2,Java,北京,30.0,3.0,本科
3,Java,北京,22.5,2.0,本科
5,Java,成都,12.5,4.0,本科
6,Java,广州,20.0,4.0,本科
7,Java,成都,19.5,3.0,本科
8,Java,武汉,15.5,3.0,本科
10,Java,北京,20.0,4.0,本科
11,Java,深圳,45.0,3.0,本科
14,Java,北京,25.0,3.0,本科
15,Java,上海,22.5,4.0,本科
16,Java,北京,27.5,4.0,本科
17,Java,北京,30.0,3.0,本科
18,Java,深圳,18.0,3.0,本科
19,Java,西安,12.5,4.0,本科
20,Java,北京,22.5,3.0,本科
21,Java,广州,14.5,2.0,本科
22,Java,深圳,30.0,3.0,本科
23,Java,杭州,20.0,4.0,本科
24,Java,深圳,14.0,4.0,本科
25,Java,南京,14.0,2.0,本科
26,Java,成都,12.5,4.0,本科
27,Java,广州,22.5,3.0,本科
29,Java,南京,26.5,4.0,本科
30,Java,北京,16.0,3.0,本科
31,Java,成都,15.0,3.0,本科
32,Java,深圳,17.0,3.0,本科
33,Java,上海,15.0,4.0,本科
34,Java,北京,25.0,3.0,本科
35,Java,南京,15.0,4.0,本科
36,Java,北京,11.5,2.0,本科
37,Java,深圳,21.5,4.0,本科
38,Java,深圳,32.5,3.0,本科
39,Java,广州,18.5,4.0,本科
40,Java,武汉,11.5,4.0,本科
41,Java,深圳,12.0,2.0,本科
42,Java,北京,27.5,4.0,本科
43,Java,深圳,17.0,4.0,大专
44,Java,北京,40.0,3.0,本科
45,Java,苏州,12.5,2.0,大专
46,Java,北京,17.5,4.0,大专
47,Java,北京,23.0,4.0,大专
48,Java,广州,12.5,2.0,本科
49,Java,深圳,12.5,2.0,本科
50,Java,北京,30.0,3.0,本科
51,Java,成都,13.5,2.0,本科
52,Java,杭州,11.0,2.0,本科
55,Java,北京,30.0,3.0,本科
56,Java,上海,16.5,2.0,本科
57,Java,广州,30.0,3.0,本科
58,Java,杭州,27.5,3.0,本科
60,Java,深圳,17.5,4.0,本科
61,Java,成都,13.5,4.0,本科
62,Java,深圳,17.0,3.0,本科
65,Java,杭州,18.5,4.0,本科
66,Java,北京,30.0,3.0,本科
68,Java,北京,45.0,4.0,本科
69,Java,上海,30.0,3.0,本科
70,Java,北京,30.0,4.0,不限
71,Java,北京,22.5,4.0,本科
72,Java,北京,22.5,4.0,本科
73,Java,武汉,20.0,4.0,本科
74,Java,杭州,24.0,3.0,本科
75,Java,上海,12.5,2.0,本科
76,Java,广州,24.0,3.0,本科
77,Java,贵阳,15.0,2.0,本科
